-5.888	2.217	-1.014
-4.473	3.116	-1.014
-2.925	3.757	-1.014
-1.289	4.123	-1.014
0.385	4.201	-1.014
2.048	3.990	-1.014
3.650	3.495	-1.014
5.142	2.732	-1.014
6.518	1.692	-1.014
5.888	-2.217	-1.014
4.473	-3.116	-1.014
2.925	-3.757	-1.014
1.289	-4.123	-1.014
-0.385	-4.201	-1.014
-2.048	-3.990	-1.014
-3.650	-3.495	-1.014
-5.142	-2.732	-1.014
-6.518	-1.692	-1.014
-5.888	2.217	-0.323
-4.473	3.116	-0.323
-2.925	3.757	-0.323
-1.289	4.123	-0.323
0.385	4.201	-0.323
2.048	3.990	-0.323
3.650	3.495	-0.323
5.142	2.732	-0.323
6.518	1.692	-0.323
5.888	-2.217	-0.323
4.473	-3.116	-0.323
2.925	-3.757	-0.323
1.289	-4.123	-0.323
-0.385	-4.201	-0.323
-2.048	-3.990	-0.323
-3.650	-3.495	-0.323
-5.142	-2.732	-0.323
-6.518	-1.692	-0.323
-5.286	2.645	1.048
-1.896	4.022	1.048
1.861	4.035	1.048
5.306	2.632	1.048
-5.284	2.646	1.048
-1.839	4.034	1.048
1.839	4.040	1.048
5.293	2.641	1.048
0.000	0.000	1.753
		
		
